Time,Race,Kids_Category,Basket_colour,Shirt_Colour,Pants_Colour,Washer_No,Dryer_No,Day_of_Week,Basket_Size
Night,malay,young,red,blue,black,3,10,Monday,big
Night,malay,no_kids,white,white,blue_jeans,6,9,Monday,big
Night,malay,no_kids,blue,red,black,4,10,Monday,big
Night,indian,no_kids,black,black,yellow,5,9,Monday,big
Night,indian,no_kids,blue,blue,white,3,9,Monday,big
Night,malay,no_kids,white,brown,blue_jeans,4,8,Monday,big
Night,malay,no_kids,pink,blue,black,5,10,Monday,big
Late Night,indian,no_kids,blue,white,brown,3,9,Tuesday,big
Late Night,indian,no_kids,purple,black,black,6,10,Tuesday,small
Late Night,chinese,no_kids,pink,white,blue_jeans,5,7,Tuesday,small
Late Night,malay,no_kids,red,black,grey,4,8,Tuesday,big
Early Morning,malay,no_kids,blue,brown,black,4,8,Tuesday,big
Early Morning,malay,no_kids,blue,blue,blue_jeans,3,7,Tuesday,big
Morning,malay,no_kids,yellow,yellow,black,3,9,Tuesday,big
Morning,malay,young,red,brown,grey,3,8,Tuesday,big
Morning,malay,no_kids,brown,black,brown,5,9,Tuesday,big
Morning,malay,toddler,blue,brown,grey,4,7,Tuesday,big
Morning,malay,toddler,white,grey,grey,5,9,Tuesday,big
Morning,malay,no_kids,blue,black,orange,6,7,Tuesday,big
Morning,malay,young,pink,green,grey,5,10,Tuesday,big
Morning,indian,no_kids,black,red,grey,3,10,Tuesday,big
Morning,malay,baby,pink,red,black,5,9,Tuesday,big
Morning,malay,young,white,red,blue,3,7,Tuesday,big
Afternoon,chinese,no_kids,white,brown,black,3,7,Tuesday,small
Afternoon,chinese,no_kids,white,black,black,5,7,Tuesday,big
Afternoon,chinese,no_kids,orange,black,black,3,8,Tuesday,small
Afternoon,chinese,no_kids,white,black,brown,6,9,Tuesday,big
Afternoon,malay,young,red,grey,white,5,9,Tuesday,big
Afternoon,indian,no_kids,white,black,blue_jeans,4,10,Tuesday,big
Afternoon,indian,no_kids,blue,black,blue_jeans,6,9,Tuesday,big
Afternoon,malay,no_kids,purple,black,black,3,7,Tuesday,big
Afternoon,chinese,toddler,red,black,white,5,9,Tuesday,big
Afternoon,foreigner,no_kids,blue,black,black,3,8,Tuesday,big
Evening,malay,no_kids,purple,purple,black,3,7,Tuesday,big
Evening,chinese,no_kids,red,purple,black,4,7,Tuesday,big
Evening,malay,no_kids,white,white,grey,6,10,Tuesday,small
Evening,malay,no_kids,blue,white,brown,4,7,Tuesday,big
Evening,chinese,no_kids,green,grey,grey,5,9,Tuesday,small
Evening,malay,no_kids,red,orange,black,5,10,Tuesday,big
Evening,malay,no_kids,red,green,green,4,9,Tuesday,big
Evening,malay,no_kids,red,brown,brown,5,9,Tuesday,big
Night,malay,no_kids,blue,grey,black,4,8,Tuesday,big
Night,malay,no_kids,white,black,blue_jeans,4,10,Tuesday,big
Night,malay,no_kids,blue,blue,red,6,9,Tuesday,big
Night,foreigner,no_kids,white,grey,black,3,7,Tuesday,big
Night,malay,no_kids,white,red,red,6,8,Tuesday,big
Night,indian,no_kids,white,red,black,5,7,Tuesday,big
Night,malay,no_kids,blue,blue,brown,3,9,Tuesday,big
Night,indian,no_kids,red,black,black,4,8,Tuesday,big
Night,indian,no_kids,red,black,blue,5,10,Tuesday,big
Night,malay,toddler,orange,black,black,5,9,Tuesday,big
Night,indian,no_kids,white,red,black,5,7,Tuesday,big
Night,foreigner,no_kids,white,white,black,3,9,Tuesday,big
Night,foreigner,no_kids,white,black,black,3,8,Tuesday,big
Night,chinese,no_kids,blue,blue,yellow,6,7,Tuesday,big
Night,malay,young,white,brown,blue,6,8,Tuesday,big
Night,malay,toddler,black,white,blue_jeans,3,10,Tuesday,big
Night,indian,no_kids,blue,white,black,6,10,Tuesday,big
Night,indian,young,white,brown,blue,5,8,Tuesday,small
Night,malay,toddler,black,grey,grey,3,8,Tuesday,big
