latitude,longitude,datetime,tempmax,tempmin,temp,humidity,windspeed,cloudcover,solarenergy,condition
2.91231642,101.6579478,19/10/2015,88.5,80,83.9,79.9,8.4,96.3,14.9,Overcast
2.922506027,101.6431294,19/10/2015,88.6,79.9,83.9,80.1,8.3,96.6,14.9,Overcast
2.93553339,101.7371698,19/10/2015,88.5,80,83.9,79.9,8.4,96.3,14.9,Overcast
2.949923904,101.637069,19/10/2015,88.8,79.6,83.8,80.5,8.2,97.1,14.9,Overcast
2.903529733,101.6612493,19/10/2015,88.5,80,83.9,79.8,8.5,96.2,14.9,Overcast
2.928514231,101.72064,19/10/2015,88.5,80,83.9,79.9,8.5,96.3,14.9,Overcast
2.970783341,101.6744587,19/10/2015,88.8,79.6,83.8,80.6,8.3,97.2,14.9,Overcast
2.951176457,101.7465264,20/10/2015,86,77,81.9,83.6,6.2,96.5,19.4,Overcast
2.955301618,101.7039608,20/10/2015,86,77,81.9,83.8,6.3,96.7,19.4,Overcast
2.9086064,101.6668225,20/10/2015,86,77,81.9,83.4,6.2,96.3,19.4,Overcast
2.967033313,101.6523208,20/10/2015,86.2,77,82,84.2,6.5,97.3,19.4,Overcast
2.962150972,101.7110964,20/10/2015,86,77,81.9,83.8,6.3,96.8,19.4,Overcast
2.928768234,101.6912621,20/10/2015,86,77,81.9,83.5,6.2,96.4,19.4,Overcast
2.941112411,101.7132003,20/10/2015,86,77,81.9,83.6,6.2,96.5,19.4,Overcast
2.939276297,101.6442602,20/10/2015,86,77,81.9,83.9,6.4,96.9,19.4,Overcast
2.957245277,101.6766783,20/10/2015,86,77,81.9,83.9,6.4,96.9,19.4,Overcast
2.970509739,101.6621115,20/10/2015,86.2,77,82,84.2,6.5,97.3,19.4,Overcast
2.921546642,101.6680438,20/10/2015,86,77,81.9,83.6,6.2,96.4,19.4,Overcast
2.943176549,101.7346564,20/10/2015,86,77,81.9,83.6,6.2,96.4,19.4,Overcast
2.915475549,101.6616564,20/10/2015,86,77,81.9,83.5,6.2,96.4,19.4,Overcast
2.943831439,101.6823814,20/10/2015,86,77,81.9,83.8,6.3,96.7,19.4,Overcast
2.934433738,101.7258593,20/10/2015,86,77,81.9,83.5,6.2,96.3,19.4,Overcast
2.967766774,101.6855821,20/10/2015,86.1,77,82,84,6.4,97,19.4,Overcast
2.951222745,101.7235245,20/10/2015,86,77,81.9,83.7,6.3,96.5,19.4,Overcast
2.939402932,101.6633933,20/10/2015,86,77,81.9,83.8,6.3,96.7,19.4,Overcast
2.947776713,101.6978995,20/10/2015,86,77,81.9,83.7,6.3,96.6,19.4,Overcast
2.9662059,101.6346878,20/10/2015,86.3,77,82,84.3,6.5,97.5,19.4,Overcast
